eNumber,Czech,English,German,score,category
E405,Propylenglykolalginát,"Propane-1,2-diol alginate",Propylenglycolalginat,3,"Thickener, emulsifier"
E420,Sorbitol,Sorbitol,Sorbit,3,"Sweetener, humectant in confectionery, diet products"
E421,Mannitol,Mannitol,Mannit,3,"Sweetener, anti-caking agent"
E430,Polyoxyethylen stearát,Polyoxyethylene stearate,Polyoxyethylenstearat,3,Emulsifier
E431,Polyoxyethylen monostearát,Polyoxyethylene monostearate,Polyoxyethylenmonostearat,3,Emulsifier
E450,Difosforečnany,Diphosphates,Diphosphate,3,"Emulsifier, stabiliser, acidity regulator"
E451,Trifosforečnany - sodný a draselný,Triphosphates - sodium and potassium,Triphosphate - Natrium- und Kalium,3,"Emulsifier, stabiliser"
E452,"Polyfosforečnany ( sodný, draselný a vápenatý )","Polyphosphates (sodium, potassium and calcium)","Polyphosphate (Natrium, Kalium und Calcium)",3,"Emulsifier, stabiliser"
E459,Beta - cyklodextrin,Beta-cyclodextrin,Beta-Cyclodextrin,3,"Stabiliser, emulsifier"
E476,Polyglycerolpolyricinoleát,Polyglycerol polyricinoleate (PGPR),Polyglycerol-Polyricinoleat,3,Emulsifier in chocolate and spreads
E491,Monostearát sorbitolu,Sorbitan monostearate,Sorbitanmonostearat,3,"Emulsifier, stabiliser"
E520,Síran hlinitý,Aluminium sulphate,Aluminiumsulfat,3,Firming agent
E558,Křemičitan hlinitohořečnatý,Aluminium magnesium silicate,Aluminiummagnesiumsilicat,3,Anti-caking agent
E626,Kyselina guanylová,Guanylic acid,Guanylsäure,3,Flavour enhancer
E627,Guanylan sodný,Disodium guanylate,Dinatriumguanylat,3,"Flavour enhancer in instant soups, crisps"
E628,Guanylan draselný,Dipotassium guanylate,Dikaliumguanylat,3,Flavour enhancer
E629,Guanylan vápenatý,Calcium guanylate,Calciuminosinat,3,Flavour enhancer
E630,Kyselina inosinová,Inosinic acid,Inosinsäure,3,Flavour enhancer
E631,Inosinan sodný,Disodium inosinate,Dinatriuminosinate,3,"Flavour enhancer in instant noodles, crisps"
E632,Inosinan draselný,Dipotassium inosinate,Dikaliuminosinat,3,Flavour enhancer
E633,Inosinan vápenatý,Calcium inosinate,Calciuminosinat,3,Flavour enhancer
E636,Maltol,Maltol,Maltol,3,Flavour enhancer
E637,Ethylmaltol,Ethyl maltol,Ethylmaltol,3,Flavour enhancer
E905,Mikrokrystalický vosk,Microcrystalline wax,Mikrokristalline Wachse,3,"Glazing agent, anti-caking agent"
E905b,Ropná vazelína,Petrolatum,Petrolatum,3,Glazing agent
E927a,Azoformamid,Azodicarbonamide,Azodicarbonamid,3,Flour treatment agent
E927b,Močovina,"Carbamide, Urea","Harnstoff, Carbamid",3,Raising agent
E929,Peroxid acetonu,Acetone peroxide,Acetonperoxid,3,Flour treatment agent
E930,Peroxid vápenatý,Calcium peroxide,Calciumperoxid,3,Flour treatment agent
E945,Chlorpentanfluoretan,Chloropentafluoroethane,Chlorpentafluorethan,3,Propellant
E958,Glycyrrhizin,Glycyrrhizin,Glycyrrhizin,3,"Sweetener, flavour enhancer"
E961,Neotam,Neotame,Neotam,3,Sweetener
E102,Tartrazin,Tartrazine,Tartrazin,4,"Yellow colouring in sweets, soft drinks, sauces"
E1102,Glukosaoxidasa,Glucose oxidase,Glukoseoxidase,4,Stabiliser
E1201,"Polyvinylpyrrolidon (PVP, Povidon)",Polyvinylpyrrolidone (PVP),Polyvinylpyrrolidon,4,"Stabiliser, clarifying agent in beer, wine"
E1202,"Polyvinylpolypyrrolidon (Síťovaný povidon, PVPP)",Polyvinylpolypyrrolidone (PVPP),Polyvinylpolypyrrolidon,4,Clarifying agent in wine and beer
E127,Erythrosin ( Cl potravinářská červeň 14 ),Erythrosine,Erythrosin,4,"Red colouring for cocktail cherries, canned fruits"
E129,Červeň Allura AC ( Cl potravinářská červeň 17 ),Allura Red AC,Allurarot AC,4,"Red colouring in sweets, beverages, desserts"
E131,Patentní modř V (CI Potravinářská modř V),Patent Blue V,Patentblau V,4,"Blue colouring in sweets, drinks"
E143,Fast green FCF,Fast Green FCF,Fast Green FCF,4,Green colouring
E151,"Čerň BN (Lesklá čerň BN, Brilantní čerň BN)",Brilliant Black BN,Brillantschwarz BN,4,"Black colouring in confectionery, sauces"
E154,Hněď FK ( CI potravinářská hněď 1 ),Brown FK,Braun FK,4,Brown colouring in smoked fish
E171,Oxid titaničitý,Titanium dioxide,Titandioxid,4,"White colouring in sweets, chewing gum, sauces"
E173,Hliník ( CI kovový pigment ),Aluminium,Aluminium,4,Silver colouring for confectionery decoration
E174,Stříbro,Silver,Silber,4,"Glazing agent, silver colouring for confectionery"
E180,Litholrubin BK,Litholrubine BK,Litholrubin BK,4,Red colouring for cheese rinds
E182,Orchil,Orcein,Orcein,4,Red-violet colouring
E209,Heptylparaben,Heptyl p-hydroxybenzoate,Heptylparaben,4,Preservative
E211,Benzoan sodný,Sodium benzoate,Natriumbenzoat,4,"Preservative in soft drinks, salads, sauces"
E212,Benzoan draselný,Potassium benzoate,Kaliumbenzoat,4,Preservative
E213,Benzoan vápenatý,Calcium benzoate,Calciumbenzoat,4,Preservative
E214,Ethylparahydroxybenzoát,Ethyl p-hydroxybenzoate,Ethylparahydroxybenzoat,4,Preservative
E215,Ethylparahydroxybenzoát sodná sůl,Sodium ethyl p-hydroxybenzoate,Natriumethylparahydroxybenzoat,4,Preservative
E216,Propylparahydroxybenzoát,Propyl p-hydroxybenzoate,Propylparahydroxybenzoat,4,Preservative
E217,Propylparahydroxybenzoát sodná sůl,Sodium propyl p-hydroxybenzoate,Natriumpropylparahydroxybenzoat,4,Preservative
E218,Methylparahydroxybenzoát,Methyl p-hydroxybenzoate,Methylparahydroxybenzoat,4,Preservative
E219,Methylparahydroxybenzoát sodná sůl,Sodium methyl p-hydroxybenzoate,Natriummethylparahydroxybenzoat,4,Preservative
E231,Orthofenylfenol,Orthophenylphenol,Orthophenylphenol,4,Preservative for fruit skins
E233,Thiabendazol,Thiabendazole,Thiabendazol,4,Preservative for fruit skins
E239,Hexamethylentetraamin,Hexamethylene tetramine,Hexamethylentetramin,4,Preservative in cheese
E251,Dusičnan sodný,Sodium nitrate,Natriumnitrat,4,Preservative in meat products
E252,Dusičnan draselný,"Potassium nitrate, Saltpetre","Kaliumnitrat, Salpeter",4,Preservative in meat products
E310,Propylgallát,Propyl gallate,Propylgallat,4,Antioxidant in fats and oils
E311,Oktylgallát,Octyl gallate,Octylgallat,4,Antioxidant
E324,Ethoxyquin,Ethoxyquin,Ethoxyquin,4,Antioxidant
E443,Bromovaný rostlinný olej,Brominated vegetable oil (BVO),Bromiertes Pflanzenöl,4,Stabiliser in soft drinks
E480,Dioktylsulfosukcinát sodný,Sodium dioctyl sulphosuccinate,Natriumdioctylsulfosuccinat,4,"Wetting agent, emulsifier"
E487,Laurylsulfát sodný,Sodium lauryl sulphate,Natriumlaurylsulfat,4,Emulsifier
E512,Chlorid cínatý,Stannous chloride,Zinn(II)chlorid,4,Antioxidant
E634,Vápenaté ribonukleotidy,Calcium 5'-ribonucleotides,Calcium-5'-Ribonucleotide,4,Flavour enhancer
E635,Disodné ribonukleotidy,Disodium 5'-ribonucleotides,Dinatrium-5'-Ribonucleotide,4,Flavour enhancer
E905a,Minerální olej,Mineral oil,Mineralöl,4,Glazing agent
E926,Oxid chloričitý,Chlorine dioxide,Chlordioxid,4,Flour treatment agent
E928,Benzoyl peroxid,Benzoyl peroxide,Benzoylperoxid,4,Flour treatment agent
E950,Acesulfam K,Acesulfame K,Acesulfam K,4,"Sweetener in diet soft drinks, chewing gum"
E962,Sůl aspartamu/acesulfamu,Salt of aspartame-acesulfame,Salz von Aspartam-Acesulfam,4,Sweetener
E107,Žluť 2G,Yellow 2G,Gelb 2G,5,Yellow colouring
E110,Žluť SY,Sunset Yellow FCF,Gelborange S,5,"Orange colouring in sweets, soft drinks, biscuits"
E120,Kyselina karmínová,"Cochineal, Carminic acid",Echtes Karmin,5,"Red colouring in yogurts, sweets, processed meats"
E128,"Červeň 2G ( Cl potravinářská červeň 10, Azogeranin )",Red 2G,Rot 2G,5,Red colouring in sausages
E132,"Indigotin ( Cl potravinářská modř 1, Indigocarmine )","Indigotine, Indigo carmine",Indigotin,5,"Blue colouring in confectionery, ice cream"
E133,Brilantní modř FCF ( Cl potravinářská modř 2 ),Brilliant Blue FCF,Brillantblau FCF,5,"Blue colouring in soft drinks, sweets"
E155,Hněď HT ( CI potravinářská hněď 3 ),Brown HT,Braun HT,5,Brown colouring in chocolate and liquorice
E210,Kyselina Benzoová,Benzoic acid,Benzoesäure,5,"Preservative in acidic foods, soft drinks, sauces"
E220,Oxid siřičitý,Sulphur dioxide,Schwefeldioxid,5,"Preservative, antioxidant in dried fruit, wine"
E221,Siřičitan sodný,Sodium sulphite,Natriumsulfit,5,"Preservative, antioxidant"
E222,Hydrogensiřičitan sodný,Sodium hydrogen sulphite,Natriumhydrogensulfit,5,"Preservative, antioxidant"
E223,Disiřičitan sodný,Sodium metabisulphite,Natriummetabisulfit,5,"Preservative, antioxidant"
E224,Disiřičitan draselný,Potassium metabisulphite,Kaliummetabisulfit,5,"Preservative, antioxidant"
E225,Siřičitan draselný,Potassium sulphite,Kaliumsulfit,5,"Preservative, antioxidant"
E226,Siřičitan vápenatý,Calcium sulphite,Calciumsulfit,5,"Preservative, antioxidant"
E227,Hydrogensiřičitan vápenatý,Calcium hydrogen sulphite,Calciumhydrogensulfit,5,"Preservative, antioxidant"
E228,Hydrogensiřičitan draselný,Potassium hydrogen sulphite,Kaliumhydrogensulfit,5,"Preservative, antioxidant"
E230,Bifenyl,"Biphenyl, Diphenyl","Biphenyl, Diphenyl",5,Preservative for citrus fruit skins
E232,Orthofenylfenolát sodný,Sodium orthophenylphenate,Natrium-Orthophenylphenolat,5,Preservative for fruit skins
E249,Dusitan draselný,Potassium nitrite,Kaliumnitrit,5,Preservative in cured meat products
E250,Dusitan sodný,Sodium nitrite,Natriumnitrit,5,Preservative in cured meat products
E284,Kyselina boritá,Boric acid,Borsäure,5,Preservative
E285,Tetraboritan sodný (Borax),"Sodium tetraborate, Borax","Natriumtetraborat, Borax",5,Preservative
E312,Dodecylgallát,Dodecyl gallate,Dodecylgallat,5,Antioxidant
E319,Terciální butylhydrochinon (TBHQ),Tertiary butylhydroquinone (TBHQ),Tert-Butylhydrochinon,5,Antioxidant in fats and oils
E620,Kyselina l-glutamová,L-Glutamic acid,L-Glutaminsäure,5,Flavour enhancer
E621,L-glutaman sodný,Monosodium glutamate (MSG),Mononatriumglutamat (MSG),5,"Flavour enhancer in savoury foods, sauces"
E622,Glutaman draselný,Monopotassium glutamate,Monokaliumglutamat,5,Flavour enhancer
E623,Glutaman vápenatý,Calcium diglutamate,Calciumdiglutamat,5,Flavour enhancer
E624,Glutaman amonný,Monoammonium glutamate,Monoammoniumglutamat,5,Flavour enhancer
E625,Glutaman hořečnatý,Magnesium diglutamate,Magnesiumdiglutamat,5,Flavour enhancer
E924a,Bromičnan draselný,Potassium bromate,Kaliumbromat,5,Flour treatment agent
E925,Chlor,Chlorine,Chlor,5,Flour treatment agent
E940,Dichlordifluormetan,Dichlorodifluoromethane,Dichlordifluormethan,5,Propellant
E951,Aspartam,Aspartame,Aspartam,5,Sweetener in diet products
E954,Sacharin a jeho soli,Saccharin and its salts,Saccharin und seine Salze,5,Sweetener
E121,Citronová červeň 2,Citrus Red 2,Citrusrot 2,6,Red colouring for citrus fruit skins
E123,Amarant,Amaranth,Amarant,6,"Red colouring, used in spirits and cake decorations"
E124,"Ponceau 4R (Cl potravinářská červeň 7, Košenilová červeň A)","Ponceau 4R, Cochineal Red A","Ponceau 4R, Cochenillerot A",6,"Red colouring in sausages, sweets, jellies"
E240,Formaldehyd,Formaldehyde,Formaldehyd,6,Preservative
E952,Cyklamáty,Cyclamates,Cyclamate,6,Sweetener
